Date;Min;Max;Avg;Avg II;Dev;Dev %;Rain;DD;DD Sum;Trap1_Count;SumTrap1;Trap2_Count;SumTrap2;Trap3_Count;SumTrap3;Sum
19.09.2006;11;23;17.53;17;0.53;3.03;0;7.53;1080.82;1;280;1;264;;1;2
20.09.2006;9;20.2;15.99;14.6;1.39;8.71;21.8;5.99;1086.81;0;280;1;265;;1;1
21.09.2006;9;20;14.15;14.5;0.35;2.46;0;4.15;1090.96;0.5;280;1.5;265;;1;2
22.09.2006;9;20;14.63;14.5;0.13;0.91;0;4.63;1095.6;1;281;2;267;;1;3
23.09.2006;9.38;25.31;15.84;17.34;1.5;9.47;0;5.84;1101.44;1;281;1.5;267;;1;2.5
24.09.2006;6.63;26.44;14.78;16.53;1.75;11.85;0;4.78;1106.22;1;282;1;268;;1;2
25.09.2006;7.44;26.25;15.29;16.84;1.55;10.15;0;5.29;1111.51;1;282;0.5;268;;1;1.5
26.09.2006;6.25;26.62;14.6;16.44;1.84;12.57;0;4.6;1116.11;1;283;;268;;1;1
27.09.2006;6.63;25.69;14.15;16.16;2.01;14.21;0;4.15;1120.26;0.5;283;;268;;1;0.5
28.09.2006;8.5;17.69;12.37;13.09;0.72;5.82;17.8;2.37;1122.63;;283;;268;;1;0
29.09.2006;8.5;21.94;13.16;15.22;2.06;15.64;0;3.16;1125.79;;283;;268;;1;0
30.09.2006;9.56;24.19;14.74;16.88;2.14;14.49;0;4.74;1130.53;;283;;268;;1;0
01.10.2006;9.75;19.81;14.37;14.78;0.42;2.89;15;4.37;1134.9;;283;;268;;1;0
02.10.2006;11.38;18.56;14.74;14.97;0.23;1.57;2;4.74;1139.63;;283;;268;;1;0
03.10.2006;9.88;14.62;12.02;12.25;0.22;1.86;10.7;2.02;1141.66;;283;;268;;1;0
04.10.2006;10.63;14.62;12.72;12.62;0.1;0.79;6.6;2.72;1144.38;;283;;268;;1;0
05.10.2006;7.44;13.38;9.63;10.41;0.78;8.08;0;0;1144.38;;283;;268;;1;0
06.10.2006;6.75;18.44;11.01;12.59;1.59;14.43;0;1.01;1145.39;;283;;268;;1;0
07.10.2006;7.25;18.5;12.57;12.88;0.3;2.42;0;2.57;1147.96;;283;;268;;1;0
08.10.2006;9.13;17.44;11.54;13.28;1.74;15.08;0;1.54;1149.5;;283;;268;;1;0
09.10.2006;5.94;18.13;11.44;12.03;0.59;5.18;0;1.44;1150.94;;283;;268;;1;0
10.10.2006;3.81;20.44;10.61;12.13;1.51;14.27;0;0.61;1151.55;;283;;268;;1;0
11.10.2006;5;21.81;10.82;13.41;2.59;23.9;0;0.82;1152.37;;283;;268;;1;0
12.10.2006;5.38;19.56;10.6;12.47;1.87;17.64;0;0.6;1152.97;;283;;268;;1;0
13.10.2006;6.13;20.38;11.01;13.25;2.24;20.4;0;1.01;1153.97;;283;;268;;1;0
14.10.2006;6.5;8.62;7.61;7.56;0.05;0.63;0;0;1153.97;;283;;268;;1;0
15.10.2006;4.44;11.5;7.54;7.97;0.43;5.74;2;0;1153.97;;283;;268;;1;0
16.10.2006;-1;8.19;3.9;3.59;0.31;7.86;0;0;1153.97;;283;;268;;1;0
17.10.2006;-1.88;12.38;3.8;5.25;1.45;38.33;0;0;1153.97;;283;;268;;1;0
18.10.2006;-2.88;16.88;3.96;7;3.04;76.97;0;0;1153.97;;283;;268;;1;0
19.10.2006;-1.75;18.62;5.47;8.44;2.96;54.14;0;0;1153.97;;283;;268;;1;0
20.10.2006;1.25;16.13;7.3;8.69;1.39;18.98;0;0;1153.97;;283;;268;;1;0
21.10.2006;6.13;19.63;10.78;12.88;2.1;19.47;0;0.78;1154.75;;283;;268;;1;0
22.10.2006;9.19;19.31;12.54;14.25;1.71;13.6;0;2.54;1157.29;;283;;268;;1;0
23.10.2006;6.19;13.5;9.93;9.84;0.09;0.86;0;0;1157.29;;283;;268;;1;0
24.10.2006;7.69;14.81;11.46;11.25;0.21;1.82;0;1.46;1158.75;;283;;268;;1;0
25.10.2006;6;12.5;10.01;9.25;0.76;7.58;2;0.01;1158.76;;283;;268;;1;0
26.10.2006;0.88;17.63;7.65;9.25;1.6;20.86;0;0;1158.76;;283;;268;;1;0
27.10.2006;8.69;20.63;13.79;14.66;0.87;6.28;0;3.79;1162.55;;283;;268;;1;0
28.10.2006;5.75;14.81;8.67;10.28;1.61;18.54;0;0;1162.55;;283;;268;;1;0
29.10.2006;-1.94;10.69;6.03;4.38;1.65;27.45;10;0;1162.55;;283;;268;;1;0
30.10.2006;-4.19;8.88;-0.7;2.34;3.04;434.62;1;0;1162.55;;283;;268;;1;0
31.10.2006;-4.62;7.69;2.8;1.53;1.27;45.23;0;0;1162.55;;283;;268;;1;0
01.11.2006;0.19;10;5.3;5.09;0.21;3.97;3.5;0;1162.55;;283;;268;;1;0
02.11.2006;-3.69;0.94;-1.1;-1.38;0.27;24.99;1.5;0;1162.55;;283;;268;;1;0
03.11.2006;-4.81;3.81;-2.29;-0.5;1.79;78.15;0;0;1162.55;;283;;268;;1;0
04.11.2006;-4.75;-1;-2.46;-2.88;0.42;17.1;4.1;0;1162.55;;283;;268;;1;0
05.11.2006;-4.56;5.81;-0.11;0.63;0.74;660.43;28;0;1162.55;;283;;268;;1;0
06.11.2006;-5.62;8.62;1.71;1.5;0.21;12.34;7.1;0;1162.55;;283;;268;;1;0
07.11.2006;6.19;8.75;7.57;7.47;0.1;1.28;0.5;0;1162.55;;283;;268;;1;0
08.11.2006;2.88;8.25;4.75;5.56;0.81;17.1;0;0;1162.55;;283;;268;;1;0
09.11.2006;3.19;10.31;6.12;6.75;0.63;10.32;0;0;1162.55;;283;;268;;1;0
10.11.2006;-1.88;7.38;2.54;2.75;0.21;8.43;0;0;1162.55;;283;;268;;1;0
11.11.2006;-2.62;3.69;1.03;0.53;0.5;48.15;0;0;1162.55;;283;;268;;1;0
12.11.2006;1.19;7;3.21;4.09;0.89;27.66;4.8;0;1162.55;;283;;268;;1;0
13.11.2006;0.94;4.88;2.48;2.91;0.43;17.31;0;0;1162.55;;283;;268;;1;0
14.11.2006;1.19;8.38;6.27;4.78;1.49;23.78;11.2;0;1162.55;;283;;268;;1;0
15.11.2006;5.25;10.94;7.86;8.09;0.24;3.02;0;0;1162.55;;283;;268;;1;0
16.11.2006;3;15;8.34;9;0.66;7.95;0;0;1162.55;;283;;268;;1;0
17.11.2006;0;13;6.57;6.5;0.07;1.08;0;0;1162.55;;283;;268;;1;0
18.11.2006;3;11;7.31;7;0.31;4.27;0;0;1162.55;;283;;268;;1;0
19.11.2006;0;9;7.04;4.5;2.54;36.09;0;0;1162.55;;283;;268;;1;0
20.11.2006;0;10;7.8;5;2.8;35.91;0;0;1162.55;;283;;268;;1;0
21.11.2006;0;10;8.22;5;3.22;39.16;0;0;1162.55;;283;;268;;1;0
22.11.2006;5.8;10;7.39;7.9;0.51;6.91;0;0;1162.55;;283;;268;;1;0
23.11.2006;6;8.1;7.27;7.05;0.22;3;4.1;0;1162.55;;283;;268;;1;0
24.11.2006;3;11;7.34;7;0.34;4.68;0;0;1162.55;;283;;268;;1;0
25.11.2006;3;10;6.59;6.5;0.09;1.32;0;0;1162.55;;283;;268;;1;0
26.11.2006;3;13;7.99;8;0.01;0.13;0;0;1162.55;;283;;268;;1;0
27.11.2006;0;9;5.97;4.5;1.47;24.63;0;0;1162.55;;283;;268;;1;0
28.11.2006;0;9;4.77;4.5;0.27;5.64;0;0;1162.55;;283;;268;;1;0
29.11.2006;0;9;4.67;4.5;0.17;3.64;0;0;1162.55;;283;;268;;1;0
30.11.2006;3;9;6.38;6;0.38;6.01;0;0;1162.55;;283;;268;;1;0
01.12.2006;-1;8;3.27;3.5;0.23;7.07;0;0;1162.55;;283;;268;;1;0
02.12.2006;-2;7;2.09;2.5;0.41;19.76;0;0;1162.55;;283;;268;;1;0
03.12.2006;-2;6;2.53;2;0.53;20.81;0;0;1162.55;;283;;268;;1;0
04.12.2006;1.5;9.1;4.75;5.3;0.55;11.53;0;0;1162.55;;283;;268;;1;0
05.12.2006;5.6;11;8.23;8.3;0.08;0.91;0;0;1162.55;;283;;268;;1;0
06.12.2006;6.5;14;9.38;10.25;0.87;9.3;0;0;1162.55;;283;;268;;1;0
07.12.2006;4;9.3;7.19;6.65;0.54;7.47;2;0;1162.55;;283;;268;;1;0
08.12.2006;2.6;10.2;7.39;6.4;0.99;13.42;0;0;1162.55;;283;;268;;1;0
09.12.2006;7;14;9.62;10.5;0.88;9.16;0;0;1162.55;;283;;268;;1;0
10.12.2006;5;8.7;6.53;6.85;0.32;4.98;1;0;1162.55;;283;;268;;1;0
11.12.2006;0;6;3.3;3;0.3;9.15;1;0;1162.55;;283;;268;;1;0
12.12.2006;-2;5;1.21;1.5;0.29;24.35;12;0;1162.55;;283;;268;;1;0
13.12.2006;3;6.1;4.73;4.55;0.18;3.79;0.5;0;1162.55;;283;;268;;1;0
14.12.2006;5;9;7.29;7;0.29;3.95;6;0;1162.55;;283;;268;;1;0
15.12.2006;1;8;5.41;4.5;0.91;16.8;0;0;1162.55;;283;;268;;1;0
16.12.2006;-1;8.3;4.03;3.65;0.38;9.46;0;0;1162.55;;283;;268;;1;0
17.12.2006;1;7.1;4.56;4.05;0.51;11.15;0.5;0;1162.55;;283;;268;;1;0
18.12.2006;1;4;3.07;2.5;0.57;18.69;0;0;1162.55;;283;;268;;1;0
19.12.2006;-1;3;1.53;1;0.53;34.6;0;0;1162.55;;283;;268;;1;0
20.12.2006;-0.2;5.2;3.14;2.5;0.64;20.42;10.1;0;1162.55;;283;;268;;1;0
21.12.2006;2;5.1;3.95;3.55;0.4;10.03;1.3;0;1162.55;;283;;268;;1;0
22.12.2006;2;4.3;3.26;3.15;0.11;3.4;0;0;1162.55;;283;;268;;1;0
23.12.2006;3.8;5.3;4.62;4.55;0.07;1.49;0;0;1162.55;;283;;268;;1;0
24.12.2006;4;5.2;4.39;4.6;0.21;4.69;0.5;0;1162.55;;283;;268;;1;0
25.12.2006;-3;5;1.61;1;0.61;37.74;0;0;1162.55;;283;;268;;1;0
26.12.2006;-4.1;1;-1.23;-1.55;0.32;26.32;0;0;1162.55;;283;;268;;1;0
27.12.2006;0;1;0.22;0.5;0.28;126.42;0;0;1162.55;;283;;268;;1;0
28.12.2006;-1.2;1;-0.18;-0.1;0.08;44.19;0;0;1162.55;;283;;268;;1;0
29.12.2006;-1;2;0.86;0.5;0.36;41.89;0.5;0;1162.55;;283;;268;;1;0
30.12.2006;-0.1;4;1.24;1.95;0.71;57.58;0;0;1162.55;;283;;268;;1;0
31.12.2006;1.7;9.3;6.01;5.5;0.51;8.49;1;0;1162.55;;283;;268;;1;0
